ns_id, parent_id, ns_name, ns_unit, usda_id, usda_name, usda_mu, priority, normalize_formula
"7102", "3004", "PUFA 18:2 t,c", "g", "1308", "PUFA 18:2 t,c", "G", 1, null
"7103", "3004", "PUFA 18:2 c,t", "g", "1309", "PUFA 18:2 c,t", "G", 1, null
"7104", "3004", "PUFA 18:3 n-3 ALA (Omega-3)", "g", "1404", "PUFA 18:3 n-3 c,c,c (ALA)", "G", 1, null
"7104", "3004", "PUFA 18:3 n-3 ALA (Omega-3)", "g", "2018", "PUFA 18:3 c", "G", 2, null
"7104", "3004", "PUFA 18:3 n-3 ALA (Omega-3)", "g", "1270", "PUFA 18:3", "G", 3, null
"7105", "3004", "PUFA 18:3 n-6 GLA (Omega-6)", "g", "1321", "PUFA 18:3 n-6 c,c,c", "G", 1, null
"7106", "3004", "PUFA 18:4 Stearidonic acid (Omega-3)", "g", "1276", "PUFA 18:4", "G", 1, null
"7107", "3004", "PUFA 20:2 n-6 (Omega-6)", "g", "1313", "PUFA 20:2 n-6 c,c", "G", 1, null
"7107", "3004", "PUFA 20:2 n-6 (Omega-6)", "g", "2026", "PUFA 20:2 c", "G", 2, null
"7108", "3004", "PUFA 20:3 n-3 (Omega-3)", "g", "1405", "PUFA 20:3 n-3", "G", 1, null
"7108", "3004", "PUFA 20:3 n-3 (Omega-3)", "g", "2020", "PUFA 20:3 c", "G", 2, null
"7108", "3004", "PUFA 20:3 n-3 (Omega-3)", "g", "1325", "PUFA 20:3", "G", 3, null
"7109", "3004", "PUFA 20:3 n-6 DGLA (Omega-6)", "g", "1406", "PUFA 20:3 n-6", "G", 1, null
"7110", "3004", "PUFA 20:3 n-9 Mead acid (Omega-9)", "g", "1414", "PUFA 20:3 n-9", "G", 1, null
"7111", "3004", "PUFA 20:4 n-6 Arachidonic acid (Omega-6)", "g", "1408", "PUFA 20:4 n-6", "G", 1, null
"7111", "3004", "PUFA 20:4 n-6 Arachidonic acid (Omega-6)", "g", "2022", "PUFA 20:4c", "G", 2, null
"7111", "3004", "PUFA 20:4 n-6 Arachidonic acid (Omega-6)", "g", "1271", "PUFA 20:4", "G", 3, null
"7112", "3004", "PUFA 20:4 n-3 (Omega-3)", "g", "1407", "PUFA 20:4 n-3", "G", 1, null
"7113", "3004", "PUFA 20:5 n-3 EPA (Omega-3)", "g", "1278", "PUFA 20:5 n-3 (EPA)", "G", 1, null
"7113", "3004", "PUFA 20:5 n-3 EPA (Omega-3)", "g", "2023", "PUFA 20:5c", "G", 2, null
"7114", "3004", "PUFA 21:5", "g", "1410", "PUFA 21:5", "G", 1, null
"7115", "3004", "PUFA 22:2", "g", "1334", "PUFA 22:2", "G", 1, null
"7116", "3004", "PUFA 22:3", "g", "2021", "PUFA 22:3", "G", 1, null
"7117", "3004", "PUFA 22:4 Adrenic acid", "g", "1411", "PUFA 22:4", "G", 1, null
"7118", "3004", "PUFA 22:5 n-3 DPA (Omega-3)", "g", "1280", "PUFA 22:5 n-3 (DPA)", "G", 1, null
"7118", "3004", "PUFA 22:5 n-3 DPA (Omega-3)", "g", "2024", "PUFA 22:5 c", "G", 2, null
"7119", "3004", "PUFA 22:6 n-3 DHA (Omega-3)", "g", "1272", "PUFA 22:6 n-3 (DHA)", "G", 1, null
"7119", "3004", "PUFA 22:6 n-3 DHA (Omega-3)", "g", "2025", "PUFA 22:6 c", "G", 2, null
"7122", "3004", "Other polyunsaturated fatty acids", "g", "1320", "Fatty acids, polyunsat., other", "G", 1, null

# 8xxx — OTHER
"8001", null, "Taurine", "g", "1234", "Taurine", "G", 1, null
"8002", null, "pH", "PH", "1023", "pH", "PH", 1, null
"8003", null, "Specific Gravity", "SP_GR", "1024", "Specific Gravity", "SP_GR", 1, null
"8004", null, "Ash", "g", "1007", "Ash", "G", 1, null
"8005", null, "Water", "g", "1051", "Water", "G", 1, null
"8006", null, "Alcohol, ethyl", "g", "1018", "Alcohol, ethyl", "G", 1, null
"8007", null, "Caffeine", "mg", "1057", "Caffeine", "MG", 1, null
"8008", null, "Theobromine", "mg", "1058", "Theobromine", "MG", 1, null
"8009", null, "Theophylline", "mg", "1083", "Theophylline", "MG", 1, null
"8010", null, "Nitrates", "mg", "1059", "Nitrates", "MG", 1, null
"8011", null, "Nitrites", "mg", "1060", "Nitrites", "MG", 1, null
"8012", null, "Nitrogen", "g", "1002", "Nitrogen", "G", 1, null
"8012", null, "Nitrogen", "g", "1052", "Adjusted Nitrogen", "G", 2, null

#    Phytosterols
"8013", null, "Phytosterols", "mg", "1283", "Phytosterols", "MG", 1, null
"8014", "8013", "Ergosterol", "mg", "1284", "Ergosterol", "MG", 1, null
"8015", "8013", "Stigmasterol", "mg", "1285", "Stigmasterol", "MG", 1, null
"8016", "8013", "Campesterol", "mg", "1286", "Campesterol", "MG", 1, null
"8017", "8013", "Brassicasterol", "mg", "1287", "Brassicasterol", "MG", 1, null
"8018", "8013", "Beta-sitosterol", "mg", "1288", "Beta-sitosterol", "MG", 1, null
"8019", "8013", "Campestanol", "mg", "1289", "Campestanol", "MG", 1, null
"8020", "8013", "Beta-sitostanol", "mg", "1294", "Beta-sitostanol", "MG", 1, null
"8021", "8013", "Delta-7-avenasterol", "mg", "1295", "Delta-7-avenasterol", "MG", 1, null
"8022", "8013", "Delta-5-avenasterol", "mg", "1296", "Delta-5-avenasterol", "MG", 1, null
"8023", "8013", "Alpha-spinasterol", "mg", "1297", "Alpha-spinasterol", "MG", 1, null
"8024", "8013", "Phytosterols, other", "mg", "1298", "Phytosterols, other", "MG", 1, null
"8040", "8013", "Stigmastadiene", "mg", "2053", "Stigmastadiene", "MG", 1, null
"8041", "8013", "Delta-7-Stigmastenol", "mg", "2052", "Delta-7-Stigmastenol", "MG", 1, null
"8042", "8013", "Ergosta-7-enol", "mg", "2060", "Ergosta-7-enol", "MG", 1, null
"8043", "8013", "Ergosta-7,22-dienol", "mg", "2061", "Ergosta-7,22-dienol", "MG", 1, null
"8044", "8013", "Ergosta-5,7-dienol", "mg", "2062", "Ergosta-5,7-dienol", "MG", 1, null

#   Sugar alcohols
"8025", null, "Sugar alcohols", "g", "1086", "Total sugar alcohols", "G", 1, null
"8026", "8025", "Mannitol", "g", "1055", "Mannitol", "G", 1, null
"8027", "8025", "Sorbitol", "g", "1056", "Sorbitol", "G", 1, null
"8028", "8025", "Xylitol", "g", "1078", "Xylitol", "G", 1, null

#   Carotenoids without Vitamin A activity [calculated]
"8029", null, "Carotenoids (non-Vitamin A)", "mcg", null, null, null, null, null
"8030", "8029", "Zeaxanthin", "mcg", "1119", "Zeaxanthin", "UG", 1, null
"8031", "8029", "Lutein", "mcg", "1121", "Lutein", "UG", 1, null
"8032", "8029", "Lycopene", "mcg", "1122", "Lycopene", "UG", 1, null
"8033", "8029", "Lutein + zeaxanthin", "mcg", "1123", "Lutein + zeaxanthin", "UG", 1, null
"8034", "8029", "cis-Lycopene", "mcg", "1160", "cis-Lycopene", "UG", 1, null
"8035", "8029", "cis-Lutein/Zeaxanthin", "mcg", "1161", "cis-Lutein/Zeaxanthin", "UG", 1, null
"8036", "8029", "trans-Lycopene", "mcg", "2029", "trans-Lycopene", "UG", 1, null
"8037", "8029", "Phytoene", "mcg", "1116", "Phytoene", "UG", 1, null
"8038", "8029", "Phytofluene", "mcg", "1117", "Phytofluene", "UG", 1, null
"8039", "8029", "Other carotenoids", "mcg", "2040", "Other carotenoids", "UG", 1, null

#   ORAC (antioxidant activity metrics)
"8045", null, "ORAC, Total", "umol_te", "1338", "ORAC, Total", "UMOL_TE", 1, null
"8046", "8045", "ORAC, Hydrophilic", "umol_te", "1336", "ORAC, Hydrophyllic", "UMOL_TE", 1, null
"8047", "8045", "ORAC, Lipophilic", "umol_te", "1337", "ORAC, Lipophillic", "UMOL_TE", 1, null

#   Other bioactives
"8048", null, "Piperine", "g", "1054", "Piperine", "G", 1, null
"8049", null, "Nitrosamine, total", "mg", "1061", "Nitrosamine,total", "MG", 1, null
"8050", null, "Glutathione", "mg", "2069", "Glutathione", "MG", 1, null
"8051", null, "Ergothioneine", "mg", "2057", "Ergothioneine", "MG", 1, null

#   Antioxidants umbrella [DTO only, no sum] ---
"8052", null, "Antioxidants", null, null, null, null, null, null

# 9xxx — ORGANIC ACIDS
"9001", null, "Organic acids", "g", "1025", "Organic acids", "G", 1, null
"9002", "9001", "Vanillic acid", "mg", "1207", "Vanillic acid", "MG", 1, null
"9003", "9001", "Caffeic acid", "mg", "1201", "Caffeic acid", "MG", 1, null
"9004", "9001", "Ellagic acid", "mg", "1203", "Ellagic acid", "MG", 1, null
"9005", "9001", "Ferrulic acid", "mg", "1204", "Ferrulic acid", "MG", 1, null
"9006", "9001", "Gentisic acid", "mg", "1205", "Gentisic acid", "MG", 1, null
"9007", "9001", "Acetic acid", "mg", "1026", "Acetic acid", "MG", 1, null
"9008", "9001", "Aconitic acid", "mg", "1027", "Aconitic acid", "MG", 1, null
"9009", "9001", "Benzoic acid", "mg", "1028", "Benzoic acid", "MG", 1, null
"9010", "9001", "Chelidonic acid", "mg", "1029", "Chelidonic acid", "MG", 1, null
"9011", "9001", "Chlorogenic acid", "mg", "1030", "Chlorogenic acid", "MG", 1, null
"9012", "9001", "Cinnamic acid", "mg", "1031", "Cinnamic acid", "MG", 1, null
"9013", "9001", "Citric acid", "mg", "1032", "Citric acid", "MG", 1, null
"9014", "9001", "Fumaric acid", "mg", "1033", "Fumaric acid", "MG", 1, null
"9015", "9001", "Galacturonic acid", "mg", "1034", "Galacturonic acid", "MG", 1, null
"9016", "9001", "Gallic acid", "mg", "1035", "Gallic acid", "MG", 1, null
"9017", "9001", "Glycolic acid", "mg", "1036", "Glycolic acid", "MG", 1, null
"9018", "9001", "Isocitric acid", "mg", "1037", "Isocitric acid", "MG", 1, null
"9019", "9001", "Lactic acid", "mg", "1038", "Lactic acid", "MG", 1, null
"9020", "9001", "Malic acid", "mg", "1039", "Malic acid", "MG", 1, null
"9021", "9001", "Oxaloacetic acid", "mg", "1040", "Oxaloacetic acid", "MG", 1, null
"9022", "9001", "Oxalic acid", "mg", "1041", "Oxalic acid", "MG", 1, null
"9023", "9001", "Phytic acid", "mg", "1042", "Phytic acid", "MG", 1, null
"9024", "9001", "Pyruvic acid", "mg", "1043", "Pyruvic acid", "MG", 1, null
"9025", "9001", "Quinic acid", "mg", "1044", "Quinic acid", "MG", 1, null
"9026", "9001", "Salicylic acid", "mg", "1045", "Salicylic acid", "MG", 1, null
"9027", "9001", "Succinic acid", "mg", "1046", "Succinic acid", "MG", 1, null
"9028", "9001", "Tartaric acid", "mg", "1047", "Tartaric acid", "MG", 1, null
"9029", "9001", "Ursolic acid", "mg", "1048", "Ursolic acid", "MG", 1, null
"9030", "9001", "p-Hydroxy benzoic acid", "mg", "1200", "p-Hydroxy benzoic acid", "MG", 1, null
"9031", "9001", "p-Coumaric acid", "mg", "1202", "p-Coumaric acid", "MG", 1, null

# 10xxx — POLYPHENOLS & FLAVONOIDS
"10001", null, "Polyphenols, total", "mg", "1209", "Polyphenols, total", "MG", 1, null
"10002", null, "Total Phenolics", "mg_gae", "1339", "Total Phenolics", "MG_GAE", 1, null
"10003", "10001", "Flavonoids, total", "mg", "1347", "Flavonoids, total", "MG", 1, null
"10091", "10001", "Phenolic acids, total", "mg", "1208", "Phenolic acids, total", "MG", 1, null
"10090", "10001", "Tyrosol", "mg", "1206", "Tyrosol", "MG", 1, null

#   Isoflavones (parent: 10003)
"10010", "10003", "Isoflavones", "mg", "1343", "Isoflavones", "MG", 1, null
"7123", "10010", "Daidzein", "mg", "1340", "Daidzein", "MG", 1, null
"7124", "10010", "Daidzin", "mg", "2049", "Daidzin", "MG", 1, null
"7125", "10010", "Genistein", "mg", "1341", "Genistein", "MG", 1, null
"7126", "10010", "Genistin", "mg", "2050", "Genistin", "MG", 1, null
"7127", "10010", "Glycitein", "mg", "1342", "Glycitein", "MG", 1, null
"7128", "10010", "Glycitin", "mg", "2051", "Glycitin", "MG", 1, null
"7129", "10010", "Biochanin A", "mg", "1344", "Biochanin A", "MG", 1, null
"7130", "10010", "Formononetin", "mg", "1345", "Formononetin", "MG", 1, null
"7131", "10010", "Coumestrol", "mg", "1346", "Coumestrol", "MG", 1, null

#    Anthocyanidins (parent: 10003)
"10020", "10003", "Anthocyanidins", "mg", "1348", "Anthocyanidins", "MG", 1, null
"7132", "10020", "Cyanidin", "mg", "1349", "Cyanidin", "MG", 1, null
"7133", "10020", "Delphinidin", "mg", "1357", "Delphinidin", "MG", 1, null
"7134", "10020", "Malvidin", "mg", "1358", "Malvidin", "MG", 1, null
"7135", "10020", "Pelargonidin", "mg", "1359", "Pelargonidin", "MG", 1, null
"7136", "10020", "Peonidin", "mg", "1360", "Peonidin", "MG", 1, null
"7137", "10020", "Petunidin", "mg", "1361", "Petunidin", "MG", 1, null

#   Procyanidins (parent: 10003)
"10030", "10003", "Procyanidins, total", "mg", "1369", "Procyanidins, total", "MG", 1, null
"7138", "10030", "Proanthocyanidin (dimer-A linkage)", "mg", "1350", "Proanthocyanidin (dimer-A linkage)", "MG", 1, null
"7139", "10030", "Proanthocyanidin monomers", "mg", "1351", "Proanthocyanidin monomers", "MG", 1, null
"7140", "10030", "Proanthocyanidin dimers", "mg", "1352", "Proanthocyanidin dimers", "MG", 1, null
"7141", "10030", "Proanthocyanidin trimers", "mg", "1353", "Proanthocyanidin trimers", "MG", 1, null
"7142", "10030", "Proanthocyanidin 4-6mers", "mg", "1354", "Proanthocyanidin 4-6mers", "MG", 1, null
"7143", "10030", "Proanthocyanidin 7-10mers", "mg", "1355", "Proanthocyanidin 7-10mers", "MG", 1, null
"7144", "10030", "Proanthocyanidin polymers (>10mers)", "mg", "1356", "Proanthocyanidin polymers (>10mers)", "MG", 1, null

#   Flavans (parent: 10003)
"10040", "10003", "Flavans, total", "mg", "1362", "Flavans, total", "MG", 1, null
"10041", "10040", "Catechins, total", "mg", "1363", "Catechins, total", "MG", 1, null
"7145", "10041", "Catechin", "mg", "1364", "Catechin", "MG", 1, null
"7146", "10041", "Epicatechin", "mg", "1366", "Epicatechin", "MG", 1, null
"7147", "10041", "Epigallocatechin", "mg", "1365", "Epigallocatechin", "MG", 1, null
"7148", "10041", "Epicatechin-3-gallate", "mg", "1367", "Epicatechin-3-gallate", "MG", 1, null
"7149", "10041", "Epigallocatechin-3-gallate (EGCG)", "mg", "1368", "Epigallocatechin-3-gallate", "MG", 1, null
"7150", "10041", "(+)-Gallocatechin", "mg", "1396", "(+) -Gallo catechin", "MG", 1, null
"7151", "10041", "(+)-Catechin 3-gallate", "mg", "1397", "(+)-Catechin 3-gallate", "MG", 1, null
"7152", "10041", "(+)-Gallocatechin 3-gallate", "mg", "1398", "(+)-Gallocatechin 3-gallate", "MG", 1, null
"10050", "10040", "Theaflavins", "mg", "1370", "Theaflavins", "MG", 1, null
"7153", "10050", "Theaflavin -3,3'-digallate", "mg", "1393", "Theaflavin -3,3' -digallate", "MG", 1, null
"7154", "10050", "Theaflavin -3'-gallate", "mg", "1394", "Theaflavin -3' -gallate", "MG", 1, null
"7155", "10050", "Theaflavin -3-gallate", "mg", "1395", "Theaflavin -3 -gallate", "MG", 1, null
"7156", "10040", "Thearubigins", "mg", "1371", "Thearubigins", "MG", 1, null
"7157", "10040", "Theogallin", "mg", "1392", "Theogallin", "MG", 1, null

#    Flavanones (parent: 10003)
"10060", "10003", "Flavanones, total", "mg", "1372", "Flavanones, total", "MG", 1, null
"7158", "10060", "Eriodictyol", "mg", "1373", "Eriodictyol", "MG", 1, null
"7159", "10060", "Hesperetin", "mg", "1374", "Hesperetin", "MG", 1, null
"7160", "10060", "Isosakuranetin", "mg", "1375", "Isosakuranetin", "MG", 1, null
"7161", "10060", "Liquiritigenin", "mg", "1376", "Liquiritigenin", "MG", 1, null
"7162", "10060", "Naringenin", "mg", "1377", "Naringenin", "MG", 1, null

#    Flavones (parent: 10003)
"10070", "10003", "Flavones, total", "mg", "1378", "Flavones, total", "MG", 1, null
"7163", "10070", "Apigenin", "mg", "1379", "Apigenin", "MG", 1, null
"7164", "10070", "Chrysoeriol", "mg", "1380", "Chrysoeriol", "MG", 1, null
"7165", "10070", "Diosmetin", "mg", "1381", "Diosmetin", "MG", 1, null
"7166", "10070", "Luteolin", "mg", "1382", "Luteolin", "MG", 1, null
"7167", "10070", "Nobiletin", "mg", "1383", "Nobiletin", "MG", 1, null
"7168", "10070", "Sinensetin", "mg", "1384", "Sinensetin", "MG", 1, null
"7169", "10070", "Tangeretin", "mg", "1385", "Tangeretin", "MG", 1, null

#    Flavonols (parent: 10003)
"10080", "10003", "Flavonols, total", "mg", "1386", "Flavonols, total", "MG", 1, null
"7170", "10080", "Isorhamnetin", "mg", "1387", "Isorhamnetin", "MG", 1, null
"7171", "10080", "Kaempferol", "mg", "1388", "Kaempferol", "MG", 1, null
"7172", "10080", "Limocitrin", "mg", "1389", "Limocitrin", "MG", 1, null
"7173", "10080", "Myricetin", "mg", "1390", "Myricetin", "MG", 1, null
"7174", "10080", "Quercetin", "mg", "1391", "Quercetin", "MG", 1, null


#   DTO LAYER NOTES

# CATEGORY STUBS (ns_unit = null, usda_id = null):
# These exist in DB for hierarchy. Values are calculated at migration time.

# 5100 Vitamins water-soluble — DTO grouping ONLY, NO sum
#       Children: 5002, 5003, 5004, 5005, 5006, 5007, 5008, 5009, 5010, 5011, 5012, 5013
# 5200 Vitamins fat-soluble — DTO grouping ONLY, NO sum
#       Children: 5001, 5014, 5015, 5016
# 6100 Macrominerals — DTO grouping, NO sum (mixed units mg/mcg)
#       Children: 6001-6006, 6036, 6041
# 6200 Trace minerals — DTO grouping, NO sum
#       Children: 6007-6015, 6021, 6028, 6030, 6035
# 6300 Heavy metals — DTO grouping, NO sum
#       Children: 6016-6020, 6022-6027, 6029, 6031-6034
# 8029 Carotenoids non-Vit A — calculated sum
#       NO SUM 8033 (Lutein+Zeaxanthin) AND 8030+8031 - EQUAL VALUES
#       NO SUM cis/trans forms with main
# 8052 Antioxidants — DTO umbrella, NO sum (mixed units mg/mcg)
#       Groups: 8045 ORAC, 8050 Glutathione, 8051 Ergothioneine

# OMEGA STUBS:
# 3014 Omega-3 total = sum(7104 ALA + 7106 SDA + 7108 20:3n3 + 7112 20:4n3 + 7113 EPA + 7118 DPA + 7119 DHA), flag: calculated
# 3015 Omega-6 total = sum(7100 LA + 7105 GLA + 7107 20:2n6 + 7109 DGLA + 7111 AA), flag: calculated
# 3016 Omega-9 total = sum(7110 Mead acid), flag: calculated

# VITAMIN E NOTES:
# 5014 = alpha-tocopherol (main value)'
# 7175 Total Tocopherols: if no USDA value -> sum(5014 + 7028-7030), calculated
# 7176 Total Tocotrienols: if no USDA value -> sum(7031-7034), calculated

# CAROTENE TOTAL (7049):
# Use ONLY if 7002, 7003, 7048 is missing

# PHENOLIC ACIDS (10091):
// DTO может подтянуть из 9xxx: Caffeic (9003), Ellagic (9004),
// Ferrulic (9005), Gallic (9016), Chlorogenic (9011), Vanillic (9002),
// p-Coumaric (9031), p-Hydroxy benzoic (9030)
//
# ISOFLAVONES (10010):
# DO NOT SUM glycosides (Daidzin, Genistin, Glycitin)
# with unglycones (Daidzein, Genistein, Glycitein)

# BETAINE (7177):
# Choline metabolitic form, DO NOT SUM with choline fractions (7023-7027)
